id,h1_label,h1_reason,h2_label,gold
1,"F, L","F: x.event.dispatch.apply(f.elem, arguments) - explicitly invokes the event dispatcher on f.elem, L: e && x.event.triggered===e.type - suppresses dispatch when the same event type is already being triggered.","F, L","F, L, N"
2,A,A: value.length > maxLength - truncates input to enforce length limit,A,A
3,A,A: delegates to numberValidation() - function name indicates numeric input validation,A,A
4,K,"K: filters out non-Enter/Space keys (13, 32) and checks role",K,K
5,I,"I: spreads arguments array and forwards to d.apply(this, b) - pass-through wrapper with no internal logic",I,I
6,U,"U: Z[I(S,166,176,173,159,161, ??) - obfuscated string decoding",U,U
7,"F, S","F: _.event.dispatch.apply(a,arguments) - jQuery dispatcher wrapper, S: stores input value into hB.form[name] object - collects form field state on each input event",K,"F, L, S"
8,J,J: event.keyCode == 13 followed by Login.submitLoginRequest() - delegates the Enter-key interaction directly to the login submission routine.,J,"K, J"
9,"G, A, S, K","G: e.target.id == 'enterID-input' - routes handling based on whether the event originated from the target input, A: $(""#enterID-input"").val().length < 6 - validates the online ID against a minimum length of six characters, S: attr('disabled','disabled') and prop('disabled', null) - manages the passcode input's enabled/disabled state based on validation results, K: e.keyCode !== 13 - filters out the Enter key from the keyup handling path.","G, A, S, K","G, A, S, K"
10,"O, Q, K, T","O: getMasked() - generates and applies a masked representation of the current input value, Q: setCaret(...) - adjusts the caret position during masked-input processing, K: 'mask-keycode' with byPassKeys - skips mask processing for configured bypass keys, T: handler: behaviour - handles input events by coordinating masking, key filtering, and caret adjustment.",U,"O, Q"
11,T,T: function onkeyup(event) - handles a keyup input event by invoking onkeyuser() when the event occurs.,T,T
12,J,J: delegates to postOnReturn() - function name indicates Enter key detection and form submission trigger via keypress event,J,"K, J"
13,"F, G, L","F: i.event.dispatch.apply(l.elem, arguments) - explicitly invokes jQuery's event dispatcher, G: var u=n(i.target); if(u.is(t)) return r.apply(u,arguments) - delegates handling to r when the originating event target matches the delegated selector, L: n && i.event.triggered===n.type - suppresses dispatch when the same event type is already being triggered.","F, G, L","F, G, L"
14,N,"N: n && !n.hasConsent() && o.searchBox.value.trim() !== """" - guards the consent-setting action so setConsent() executes only when the consent object exists, consent has not already been granted, and the search input is non-empty.",N,N
15,A,A: isNumber() - function name indicates numeric input validation.,A,A
16,"B, N","B: self.isDisabled() - checks whether the input/component is currently in a disabled UI state, N: if (self.isDisabled()) return true - exits before self.onKeyPress(...) when the component is disabled.","B, N",N
17,"F, L","F: n.event.dispatch.apply(k.elem, arguments) - invokes jQuery's event dispatcher, L: ""undefined"" == typeof n || a && n.event.triggered === a.type - suppresses dispatch when jQuery is unavailable or the same event type is already being triggered.","F, L","F, L"
18,U,"U: p(b, this, arguments) - delegates execution through opaque minified identifiers",U,U
19,T,"T: submitenter(this, event) - handles a keypress input event by invoking Enter-submit processing for the current field.",T,T
20,U,"U: contextID, executionNumber, absBeginTimeMs, o.tokens, and opaque calls such as B(n,h) - contains minified execution-context and instrumentation logic whose concrete input-event behavior cannot be determined from the snippet.",U,U
